Display Name    Country Code	Language Code	Identifier (Source-Name)
#Legend	hk	en	hashtag-legend
20 Minutes (Toulouse)	fr	fr	20-minutes-toulouse
20 Minutes - Genève	ch	fr	20-minutes-geneve
20 minutes - Suisse romande	ch	fr	20-minutes-suisse-romande
20 Minutos Barcelona	es	es	20-minutos-barcelona-eajf
20 Minutos Madrid	es	es	20-minutos-madrid-eajg
20 Minutos Sevilla	es	es	20-minutos-sevilla-eak5
20 Minutos Valencia	es	es	20-minutos-valencia-eak6
20 Private Wohnträume	de	de	20-private-wohntraeume
2021 新聞現場	tw	zh	news-scene
2022 Guide to College Admissions	us	en	2022-guide-to-college-admissions
2022 Guide to Online Learning	us	en	2022-guide-to-online-learning
2022 Your Future in Business Guide	us	en	2022-your-future-in-business-guide
2022 Your Future in Healthcare Guide	us	en	2022-your-future-in-healthcare-guide
2023 Guide to Performing & Visual Arts Colleges	us	en	2023-guide-to-performing-visual-arts-colleges
2023 Guide to Summer Programs	us	en	2023-guide-to-summer-programs
2023 Your Future in Arts Guide	us	en	2023-your-future-in-arts-guide
2023 Your Future in Healthcare Guide	us	en	2023-your-future-in-healthcare-guide
2023 Your Future in STEM Guide	us	en	2023-your-future-in-stem-guide
2024 Guide to Gap Year Programs	us	en	2024-guide-to-gap-year-programs
2024 Healthcare Guide	us	en	community-health-care-guide
220 Triathlon	gb	en	220-triathlon-magazine
24 Horas - El diario sin límites	mx	es	24-horas-el-diario-sin-limites
24 Sata	hr	hr	24sata
25 Beautiful Homes	gb	en	25-beautiful-homes
25ans（ヴァンサンカン）	jp	ja	25ans
2nd（セカンド）	jp	ja	2nd
3 Magazine	ca	en	3-magazine
30 Days	gb	en	30-days-225y
35 năm Thu hút đầu tư nước ngoài - Thành tựu và Bài học	vn	vi	35-nam-thanh-tuu-va-bai-hoc-9bbg
35 Years of Foreign Investment in Vietnam: Together We Thrive	vn	en	35-years-of-foreign-investment-in-vietnam-9bbh
3D Transformative Digest	us	en	3d-transformative-digest
3D World	gb	en	3d-world
4 x 4 Australia	au	en	4-x-4-australia
4WDrive	ca	en	4wdrive
5-15	ca	fr	5-15
5-15 hors série	ca	fr	5-15-hors-serie
50 years of Building and Development	au	en	50-years-of-building-and-development
500 Times	tw	zh	500-times
7 Jours	ca	fr	7-jours
70, 80, 90-tal	se	sv	70-80-90-tal
75 Years of Aston DB	gb	en	75-years-of-aston-db
75 Years of Ferrari	gb	en	75-years-of-ferrari
87:an	se	sv	87-an
911 Porsche World	gb	en	911-porsche-world
91:an	se	sv	91-an
999 (Arabic)	ae	ar	999-arabic-9lhb
999 (English)	ae	en	999-english-9lha
999 Kids	ae	ar	999-kids-9lhc
A BOLA	pt	pt	a-bola-358a
A BOLA (Portuguese)	pt	pt	a-bola-358a
À Bon Verre, Bonne Table	ca	fr	a-bon-verre-bonne-table
A Ciência da Felicidade	br	pt	a-ciencia-da-felicidade
A Mais Influente	br	pt	mais-influente-9yzd
A Nação	cv	pt	a-nacao
A New England	us	en	a-new-england
A Nossa Prima	pt	pt	a-nossa-prima-790b
A TO Z INDIA	in	en	a-to-z-india
A Tribute to HM Queen Elizabeth II	gb	en	a-tribute-to-hm-queen-elizabeth-ii
A Verdade Sobre	br	pt	a-verdade-sobre
A weekend in…	gb	en	a-weekend-in
A World of Culture	nl	nl	a-world-of-culture
A World of Culture – English Edition	nl	en	a-world-of-culture-english-edition
A Year in The English Garden	gb	en	a-year-in-the-english-garden
A Year of Wonders	au	en	a-year-of-wonders-9bja
Aalener Nachrichten	de	de	aalener-nachrichten
Aan de Haak	nl	nl	aan-de-haak
ABC	es	es	abc
ABC (1ª Edición)	es	es	abc-1a-edicion
ABC (Andalucía)	es	es	abc-andalucia
ABC (Castilla y León)	es	es	abc-castilla-y-leon
ABC (Córdoba)	es	es	abc-cordoba
ABC (Galicia)	es	es	abc-galicia
ABC (Nacional)	es	es	abc-nacional
ABC (Sevilla)	es	es	abc-sevilla
ABC (Toledo / Castilla-La Mancha)	es	es	abc-toledo-castilla-la-mancha
ABC Color	py	es	abc-color
ABC Cricket	au	en	abc-cricket
ABC of CBD	za	en	abc-of-cbd
Abdoul and the Coco Moon	es	en	abdoul-and-the-coco-moon
Abdoul et de Coco Moon	es	fr	abdoul-et-de-coco-moon
Abdoul y la luna Coco	es	es	abdoul-y-la-luna-coco
Abendzeitung München	de	de	abendzeitung-munchen
Abitare	it	it	abitare
Åbo Underrättelser	fi	sv	abo-underrattelser
Abode2	gb	en	abode2
Abraham	us	en	abraham
Abu Dhabi Life - Yalla	ae	en	abu-dhabi-life-yalla
Ac Magazine	us	en	ac-magazine-359w
Acadie Nouvelle	ca	fr	acadie-nouvelle
Accrington Observer	gb	en	accrington-observer
Ace	sg	en	ace
Açores Magazine	pt	pt	acoriano-oriental-acores-magazine
Açoriano Oriental	pt	pt	acoriano-oriental
Acres Australia	au	en	acres-australia
Action Co.	fr	fr	action-co
Activa (Portugal)	pt	pt	activa-portugal-790c
Activated	ch	en	activated
Acts 1: The Awakening	us	en	acts-1-the-awakening
Acts 2: The Missionary	us	en	acts-2-the-missionary
Acts 3: The Apostle	us	en	acts-3-the-apostle
Acts 4: The Martyr	us	en	acts-4-the-martyr
Acts of God	us	en	acts-of-god
AD	fr	fr	ad
AD (Italia)	it	it	ad-italy
AD (México)	mx	es	ad-mexico
AD (Spain)	es	es	ad-spain
AD Collector	fr	fr	ad-collector
AD Latinoamerica	mx	es	ad-latinoamerica
Adbusters	ca	en	adbusters
Adelante Valle	us	es	adelante-valle
Adesso	de	it	adesso
Admissions Open Leading Universities & Higher Education	ae	en	supplements-admissions-open-leading-universities-higher-education
ADN Barranquilla	co	es	adn-barranquilla
ADN Bogota	co	es	adn-bogota
ADN Bucaramanga	co	es	adn-bucaramanga
ADN Cali	co	es	adn-cali
ADN Medellin	co	es	adn-medellin
Adore	hk	en	adore
Adventure	nz	en	adventure
Adventure Outdoors	us	en	adventure-outdoors
Advisors Magazine	us	en	advisors-magazine
Aerotech News and Review	us	en	aerotech-news-and-review
AFP	fr	fr	afp
Africa Hospitality Magazine	sn	fr	africa-hospitality-magazine-59er
Africa in Fact	za	en	africa-in-fact
Africa Outlook	gb	en	africa-outlook
African Banker	gb	en	african-banker
African Business	gb	en	african-business
African Farming	za	en	african-farming
African Leadership Magazine( UK)	gb	en	african-leadership-magazine-uk
African Pilot	za	en	african-pilot
Afro Poetry Times	za	en	afro-poetry-times
Aftenposten	no	nb	aftenposten
Aftenposten Historie	no	nb	aftenposten-historie
Aftenposten Innsikt	no	nb	aftenposten-innsikt
Aftenposten Junior	no	nb	aftenposten-junior
Aftonbladet	se	sv	aftonbladet
Aftonbladet Hälsa	se	sv	aftonbladet-halsa
Ag Trader	nz	en	ag-trader-9zaq
Agderposten	no	nb	agderposten
Aged Care Insite	au	en	aged-care-insite-222t
Agenda del contribuente	it	it	agenda-del-contribuente
AgLife	au	en	aglife
Agora	br	pt	agora
Agricultura 2000	es	es	agricultura-2000
Agriculture	ph	en	agriculture-9ggr
Agronegocios	co	es	agronegocios
AgroSpectrum	in	en	agrospectrum
AgroVoz	ar	es	agrovoz
AI Business Magazine	in	en	ai-business-magazine
Aichacher Nachrichten	de	de	aichacher-nachrichten
Air Canada enRoute	ca	en	enroute
Air Fryer, mat på 20 min	se	sv	air-fryer-mat-pa-20-min
Air fryer: De bästa recepten	se	sv	air-fryer-de-basta-recepten
Air-Fryer	za	en	air-fryer
Airdrie & Coatbridge Advertiser	gb	en	airdrie-coatbridge-advertiser
Airguide Destinations Airport Guide - Atlanta (ATL)	us	en	airguide-destinations-airport-guide-atlanta-atl
Airguide Destinations Airport Guide - Detroit (DTW)	us	en	airguide-destinations-airport-guide-detroit-dtw
Airguide Destinations Airport Guide - London (LGW, LHR, LCY)	gb	en	airguide-destinations-airport-guide-london-lgw-lhr-lcy
Airguide Destinations Airport Guide - Los Angeles (LAX)	us	en	airguide-destinations-airport-guide-los-angeles-lax
Airguide Destinations Airport Guide - Miami (MIA)	us	en	airguide-destinations-airport-guide-miami-mia
Airguide Destinations Airport Guide - Minneapolis St. Paul (MSP)	us	en	airguide-destinations-airport-guide-minneapolis-st-paul-msp
Airguide Destinations Airport Guide - New York (JFK, LGA, EWR)	us	en	airguide-destinations-airport-guide-new-york-jfk-lga-ewr
Airguide Destinations Airport Guide - Paris (CDG, ORY)	fr	en	airguide-destinations-airport-guide-paris-cdg-ory
Airguide Destinations Airport Guide - Salt Lake City (SLC)	us	en	airguide-destinations-airport-guide-salt-lake-city-slc
Airguide Destinations Airport Guide - San Francisco (SFO)	us	en	airguide-destinations-airport-guide-san-francisco-sfo
Airguide Destinations Airport Guide - Seattle (SEA)	us	en	airguide-destinations-airport-guide-seattle-sea
Airgun World	gb	en	airgun-world
AJU Business Daily (Chinese)	kr	zh	aju-business-daily-chinese
Akram Express (English)	in	en	akram-express-english
Akram Express (Gujarati)	in	gu	akram-express-gujarati
Akram Express (Hindi)	in	hi	akram-express-hindi
Akram Youth (English)	in	en	akram-youth-english
Akram Youth (Gujarati)	in	gu	akram-youth-gujarati
Akram Youth (Hindi)	in	hi	akram-youth-hindi
Akron Beacon Journal	us	en	akron-beacon-journal
Aktiv Träning	se	sv	aktiv-traning-sweden
Aktiv Trening	no	nb	aktiv-trening-no
Aktiv Træning	dk	da	aktiv-traning-dk
Al Akhbar	tn	ar	al-akhbar-tunisia
Al Araby Al Jadeed	gb	ar	alaraby-aljadeed-newspaper-9y2j
Al chile	mx	es	al-chile
Al Día (Querétaro)	mx	es	periodico-al-dia-queretaro
Al Jarida (Kuwait)	kw	ar	al-jarida-kuwait-9lj2
Al Riyadh newspaper	sa	ar	al-riyadh-newspaper
Al Roya	om	ar	al-roya
Al Wasl Tower	ae	en	al-wasl-tower
Al Yamamah magazine	sa	ar	al-yamamah-magazine
Alb Bote	de	de	alb-bote
Albany Times Union	us	en	albany-times-union
Albany Times Union (Sunday)	us	en	albany-times-union-sunday
Albatros Magazine	it	it	albatros-magazine
Albuquerque Journal	us	en	albuquerque-journal
Aldeia	br	pt	aldeia-9yzb
Aldershot News & Mail	gb	en	aldershot-news-mail
Alingsås Tidning	se	sv	alingsas-tidning
Alingsåskuriren	se	sv	alingsaskuriren
All (Turkey)	tr	tr	all-turkey
All About ARC’TERYX	jp	ja	all-about-arc-teryx
All About History	gb	en	all-about-history
All About History	tr	tr	all-about-history-9ywp
All About Italy (Germany)	de	de	all-about-italy-germany
All About Italy (USA)	us	en	all-about-italy-usa
All About Space	gb	en	all-about-space
All About Space	tr	tr	all-about-space-turkey-9ylp
All Decor (Turkey)	tr	tr	all-decor-turkey
All Region Prep Sports Awards	us	en	all-region-prep-sports-awards
All Together NOW!	gb	en	all-together-now-9yxi
Allers	no	nb	allers
Alles für die Frau	de	de	alles-fuer-die-frau
Alloa Advertiser	gb	en	alloa-advertiser
Allrecipes	us	en	allrecipes
Allsvenskan	se	sv	allsvenskan34yc
Allsvenskan 100 år Nostalgi	se	sv	allsvenskan-100-ar-nostalgi
Allsvenskan Nostalgi	se	sv	allsvenskan-nostalgi
ALLT I ETT - 45 lättlagade recept på hälsosamma måltider	se	sv	allt-i-ett-45-harliga-recept-latta-att-laga
Allt om EM-historien	se	sv	allt-om-em-historia
All About History Özel	tr	tr	all-about-history-ozel-9y8k
All About Space Özel	tr	tr	all-about-space-ozel-9y8g
Almaden Resident	us	en	almaden-resident
Aló (Colombia)	co	es	aloc
Aló Novias	co	es	alo-novias
Alo!	rs	sr	alo
Aloittelijan Jooga	fi	fi	aloittelijan-jooga
Alt om videnskab Junior	dk	da	alt-om-videnskab-junior
Alt om videnskab vol 1	dk	da	alt-om-videnskab-vol-1
Altagama Motor	es	es	altagama-motor
Altaposten	no	nb	altaposten
alvento	it	it	alvento
Amateur Gardening	gb	en	amateur-gardening
Amateur Photographer	gb	en	amateur-photographer
AMAZING BARI	it	it	amazing-bari-9y72
AMAZING PUGLIA	it	it	amazing-puglia-9y73
Amazing Tasmania	au	en	amazing-tasmania
Ambiance	mx	es	ambiance
American Art Collector	us	en	american-art-collector
American Art Collector - Brilliant Blooms	us	en	american-art-collector-brilliant-blooms
American Art Collector - Natural Beauty	us	en	american-art-collector-natural-beauty
American Farmhouse Style	us	en	american-farmhouse-style
American Fine Art Magazine	us	en	american-fine-art-magazine
American Hospital	ae	en	supplements-american-hospital
American Patchwork & Quilting	us	en	american-patchwork-quilting
American Whiskey Magazine	gb	en	american-whiskey-magazine
Amica	it	it	amica
Amigurumi	nl	nl	amigurumi
Amlak Real Estate Newspaper	sa	ar	amlak-real-estate-newspaper
Amtix	gb	en	amtix-9yy4
Ana Maria	br	pt	ana-maria
Anadolu Jet Magazin	tr	tr	anadolu-jet-magazin
anan	jp	ja	anan
anan Extra Edition	jp	ja	anan-extra-edition
anan Extra Issue	jp	ja	anan-extra-issue
anan Special Edition	jp	ja	anan-special-edition
anan 増刊	jp	ja	anan-zoukan
anan （アンアン　増刊）	jp	ja	anan-zoukan
ANATOMICÁ (English)	uz	en	anatomica-english
ANATOMICÁ (Russian)	uz	ru	anatomica-russian
ANATOMICÁ (Uzbek)	uz	uz	anatomica-uzbek
Andra Världskriget På Djupet	se	sv	andra-varldskriget-pa-djupet
Android Advisor	gb	en	android-advisor
Angeles protectores	ar	es	angeles-protectores
Anglers Journal	us	en	anglers-journal
Angling Times (UK)	gb	en	angling-times-uk
Angora	pl	pl	angora
Animal Scene	ph	en	animal-scene
Animaltalk	za	en	animaltalk
Animan Les Beautés du Monde	ch	fr	animan-les-beautes-du-monde
Animan Wunder der Welt	ch	de	animan-wunder-der-welt
Animate	ar	es	animate
Animation Magazine	us	en	animation-magazine
Anime Cult	it	it	anime-cult
Anime Cult Speciale	it	it	anime-cult-speciale
Ankeborgs Samlarpocket	se	sv	ankeborgs-samlarpocket
Annahar Newspaper	kw	ar	annahar-newspaper
Annapolis Valley Register	ca	en	annapolis-valley-register
Annie's Special Edition	us	en	annie-s-special-edition
Año/Cero	es	es	ano-cero
Another Watch Magazine	hk	zh	another-watch-magazine
Antelope Valley Press	us	en	antelope-valley-press
Anthem Tech Guide	gb	en	anthem-tech-guide-22m5
Anti-inflammation	se	sv	anti-inflammation
Antique Trader	us	en	antique-trader
Anuario	mx	es	anuarioee9q
Anuario Agricultura	es	es	anuario-agricultura
Anuario Astrologico	es	es	anuario-astrologico
APAC Outlook	gb	en	apac-outlook
APC Australia	au	en	apc-australia
Apertura	ar	es	apertura-argentina
Apollo Magazine (Switzerland)	ch	en	apollo-magazine-switzerland
Apollo Magazine (UK)	gb	en	apollo-magazine-9lam
Apostilas Concursos Públicos	br	pt	apostilas-concursos-publicos
Apostillas Enem	br	pt	apostilas-enem
Apotheken Umschau	de	de	apotheken-umschau-447y
App Journal	it	it	app-journal
Apple Festival	us	en	apple-festival
Apple Magazine	us	en	apple-magazine
Applique	br	pt	applique
Apps Unveiled	in	en	apps-unveiled
Aprenda Brincando	br	pt	aprenda-brincando-9ycf
Aprender e Colorir	br	pt	aprender-e-colorir-9yb7
AQ: Australian Quarterly	au	en	aq-australian-quarterly
Arab News	sa	en	arab-news
Arab Times	kw	en	arab-times
ArabAd	lb	en	arabad
ARAL	es	es	aral
Aralıklı Oruç Rehberi	tr	tr	aralikli-oruc-rehberi
Aravot	am	hy	aravot
Arcadia	co	es	arcadia
Architect Extra	fr	fr	architect-extra
Architecture & Design	au	en	architecture-design-34t9
Architecture + Design	in	en	architecture-design
Architecture Australia	au	en	architecture-australia
Architecture Durable	fr	fr	architecture-durable
Ardeshir And Pirojsha Godrej	in	en	ardeshir-and-pirojsha-godrej-4509
Ardrossan & Saltcoats Herald	gb	en	ardrossan-saltcoats-herald
Area Wellness	it	it	area-wellness
Årets begivenheter innen vitenskap	no	nb	arets-begivenheter-innen-vitenskap
Argentina Nuestra Historia	ar	es	argentina-nuestra-historia
Argos	it	it	argos
Argument	fr	fr	argument
Argument	fr	fr	argument-french-9bby
Argument (English)	fr	en	argument-english
Argument - Special	fr	en	argument-special-english
Argument hors série	fr	fr	argument-hors-serie
Argumento	fr	es	argumento-spanish-9zaw
Argumento - Special (Spanish)	fr	es	argumento-special-spanish-9jk9
Argus Leader	us	en	argus-leader
Argyllshire Advertiser	gb	en	argyllshire-advertiser
Ariana Magazine	gb	en	ariana-magazine
Arkansas Democrat-Gazette	us	en	arkansas-democrat-gazette
Arkeo Atlas	tr	tr	arkeo-atlas-9y2m
Armes de Chasse	fr	fr	armes-de-chasse
Armi e Tiro	it	it	armi-e-tiro
Armi Magazine	it	it	armi-magazine
ARQ	ar	es	arq
Arquitectura y Diseño	es	es	arquitectura-y-diseno1
Arquivo de Projetos	br	pt	arquivo-de-projetos
Arrajol	sa	ar	arrajol
Arredamento Mimarlık	tr	tr	arredamento-mimarlik
Art Market Magazine	il	en	art-market-magazine
ART OF	ch	de	art-of
Art Press	fr	fr	artpress
Artdoc Photography Magazine	nl	en	artdoc-photography-magazine-9yzl
Arte & Sustentabilidade	br	pt	arte-e-sustentabilidade
Arte e Artesanato - Tapetes	br	pt	arte-e-artesanato-tapetes
Arte em Festas Infantis	br	pt	arte-em-festas-infantis
Arte em Patchwork	br	pt	arte-em-patchwork
Arte Klub	br	pt	arte-klub
ARTE Magazine	fr	fr	arte-magazine-353k
Arte por Excelencias	es	es	arte-por-excelencias
Artesanata Faça Fácil	br	pt	artesanato-faca-facil
Artesanato simples	br	pt	artesanato-simples-9yb8
Artichoke	au	en	artichoke
Artisan Joy	us	en	artisan-joy
Artist's Back to Basics	au	en	artist-s-back-to-basics
Artist's Drawing & Inspiration	au	en	artists-drawing-inspiration
Artist's Palette	au	en	artists-palette
Artistas de Sucesso	br	pt	artistas-de-sucesso
Artistas Eternos	ar	es	artistas-eternos
Artistic Hub Magazine (English)	ch	en	artistic-hub-magazine-english
Artists & Illustrators	gb	en	artists-illustrators
ArtReview	gb	en	artreview
ArtReview Asia	gb	en	artreview-asia
Arts in the City	fr	fr	arts-in-the-city
ArtTour International Magazine	us	en	arttour-international-magazine-9yun
Aruna Asaf Ali	in	en	aruna-asaf-ali-9y7w
AS	es	es	as
AS (Andalucía)	es	es	as-andalucia
AS (Aragón)	es	es	as-aragon
AS (Baleares)	es	es	as-baleares
AS (Burgos)	es	es	as-burgos
AS (Catalunya)	es	es	as-catalunya
AS (Galicia)	es	es	as-galicia
AS (Las Palmas)	es	es	as-las-palmas
AS (Levante)	es	es	as-levante
AS (Madrid)	es	es	as-madrid
AS (País Vasco)	es	es	as-pais-vasco
AS (Sevilla)	es	es	as-sevilla
AS (Valencia)	es	es	as-valencia
AS (Valladolid)	es	es	as-valladolid
Asbury Park Press	us	en	asbury-park-press
Aselsan - aBülten	tr	tr	aselsan-abulten
Aselsan - Dergi	tr	tr	aselsan-dergi
Ashbourne News Telegraph	gb	en	ashbourne-news-telegraph
Así es mi Argentina	ar	es	asi-es-mi-argentina
Así Somos	ar	es	asi-somos
Asia Dreams	id	en	asiadreams
Asia Pacific Boating (Hong Kong)	hk	en	asia-pacific-boating-hong-kong
asia Spa India	in	en	asia-spa-india
Asian Diver (English)	sg	en	asian-diver-english
Asian Geographic	sg	en	asian-geographic
Asian Journal	ca	en	asian-journal
Asian Journeys	sg	en	asian-journeys
Askøyværingen	no	nb	askoyvaeringen
Aspen en Español Magazine	us	es	aspen-en-espanol-magazine
Aspen Peak	us	en	aspen-peak
Aspire Magazine	ae	en	aspire-magazine
Aster Clinics	ae	en	supplements-aster-clinics
Aston Martin Driver	gb	en	aston-martin-driver
Aston Martin Driver - Special Edition	gb	en	aston-martin-driver-special-edition
Astrodestino	ar	es	astrodestino
Astrologia	br	pt	astrologia-9y75
Astroloji	tr	tr	astroloji
Astronomical Techniques and Instruments	cn	en	astronomical-techniques-and-instruments
Astronomy	us	en	astronomy-9yxp
Astrowoche	de	de	astrowoche
Astrozen Magazine	in	en	astrozen-magazine-9m02
Asuntos Legales	co	es	asuntos-legales
At dig frisk	se	sv	at-dig-frisk
Ataque	pt	pt	ataque
Atherstone & Coleshill Herald	gb	en	atherstone-coleshill-herald
Athleisure	us	en	athleisure
Athlon Sports	us	en	athlon-sports-9lct
Athlon Sports Fantasy Football	us	en	athlon-sports-fantasy-football
Athlon Sports National College Football Preview	us	en	athlon-sports-national-college-football-preview
Athlon Sports NFL Draft	us	en	athlon-sports-nfl-draft
Athlon Sports Pro Football Preview	us	en	athlon-sports-pro-football-preview
ATIM Top 60 Masters	us	en	atim-top-60-masters-9yv2
Atlántico	es	es	atlantico
Atlas	tr	tr	atlas
Atlas Dijital	tr	tr	atlas-dijital-9ylq
Atlas Özel	tr	tr	atlas-ozel-9y8p
Atlas Tarih	tr	tr	atlas-tarih
Atlas Tarih Özel	tr	tr	atlas-tarih-ozel-9y8l
Atlas Tatil	tr	tr	atlas-tatil-4752
Atmosfera Casa	it	it	atmosfera-casa
Atomic Ranch	us	en	atomic-ranch-4104
Attitude	gb	en	attitude
Au Bon Marché	fr	fr	au-bon-marche-9e9v
Auckland Real Estate Guide (e-edition)	nz	en	auckland-real-estate-guide-e-edition
Audio	de	de	audio
Áudio & Vídeo – Design e Tecnologia	br	pt	audio-video-design-e-tecnologia-9yza
Audio Test	de	de	audio-test
Audio Video Foto BILD	de	de	audio-video-foto-bild
Auf einen Blick	de	de	auf-einen-blick
Augsburger Allgemeine (Ausgabe Stadt)	de	de	augsburger-allgemeine-ausgabe-stadt
Augsburger Allgemeine (Land Nord)	de	de	augsburger-allgemeine-land-nord
Augsburger Allgemeine (Land West)	de	de	augsburger-allgemeine-land-west
Augustman	sg	en	augustman
AugustMan (Malaysia)	my	en	augustman-malaysia
Austin American-Statesman	us	en	austin-american-statesman
Austin Way	us	en	austin-way
Australia Magazine	au	en	australia-magazine
Australian Adventure Bike	au	en	australian-adventure-bike
Australian Camera	au	en	australian-camera
Australian Cardmaking Stamping & Papercraft	au	en	australian-cardmaking-stamping-papercraft
Australian Country	au	en	australian-country
Australian Country Homes	au	en	australian-country-homes
Australian Geographic	au	en	australian-geographic
Australian Guitar	au	en	australian-guitar
Australian Hi-Fi	au	en	australian-hifi
Australian House & Garden	au	en	australian-house-garden
Australian How to Paint	au	en	australian-how-to-paint
Australian Knitting	au	en	australian-knitting
Australian Mountain Bike	au	en	australian-mountain-bike-9b16
Australian Muscle Car	au	en	australian-muscle-car
Australian ProPhoto	au	en	australian-prophoto
Australian Road Rider	au	en	australian-road-rider
Australian Stitches	au	en	australian-stitches
Australian T3	au	en	australian-t3
Australian Traveller	au	en	australiantraveller
Australian Women's Weekly NZ	nz	en	australian-womens-weekly-nz
Auszeit	de	de	auszeit
Auto BILD	de	de	auto-bild-germany
Auto Bild	es	es	auto-bild
Auto Bild	ro	ro	auto-bild-romania
Auto Bild (Hungary)	hu	hu	auto-bild-hungary
Auto BILD Klassik	de	de	auto-bild-klassik
Auto BILD Reisemobil	de	de	auto-bild-reisemobil
Auto BILD Sportscars	de	de	autobild-sportscars
Auto components India	in	en	auto-components-india
Auto Express	gb	en	auto-express
AUTO HEROES	fr	fr	auto-heroes
AUTO HEROES Hors-Serie	fr	fr	auto-heroes-hors-serie
Auto Magazine (France)	fr	fr	auto-magazine-france
Auto Plus	fr	fr	auto-plus
Auto Plus Classiques	fr	fr	auto-plus-classiques
Auto Plus Classiques Hors-série	fr	fr	auto-plus-classiques-hs
Auto Plus Crossovers SUV - Hors-série	fr	fr	auto-plus-crossovers-suv-9ade
Auto Plus Crossovers SUV - Hors-série	fr	fr	auto-plus-crossovers-suv-hs-9ade
Auto Plus Guide de l'acheteur	fr	fr	auto-plus-guide-de-l-acheteur
Auto Plus Hors-série	fr	fr	auto-plus-hs
Auto Plus Occasions	fr	fr	auto-plus-occasions
Auto Plus Vert!	fr	fr	auto-plus-vert
Auto Review	nl	nl	auto-review
Auto Show	tr	tr	auto-show
Auto Show Otomobil Tercih Rehberi	tr	tr	auto-show-otomobil-tercih-rehberi-9y29
Auto Show Özel	tr	tr	auto-show-ozel-9y8e
Auto Show Test	tr	tr	auto-show-test
Auto Test der Kaufberater	de	de	auto-test-der-kaufberater
Auto Today	in	en	auto-today
AUTO ZEITUNG	de	de	auto-zeitung
AUTO ZEITUNG Classic Cars	de	de	auto-zeitung-classic-cars
Auto Zeitung Modern Classics	de	de	auto-zeitung-modern-classics
Autobuses & Autocares	es	es	autobuses-autocares
Autocad and Inventor Magazin	de	de	autocad-and-inventor-magazin
Autocar	gb	en	autocar
AutoExpert	ro	ro	autoexpert-9yrj
Autofácil	es	es	autofacil
Automática e Instrumentación	es	es	automatica-e-instrumentacion
Automovil	es	es	automovil
Automóviles históricos	ar	es	automoviles-historicos
Autopista	es	es	autopista
AutoRevista	es	es	autorevista
Autosport (UK)	gb	en	autosport-uk
AutoSzene	at	de	autoszene
Autozeitung Spezial	de	de	autozeitung-spezial
Avantages	fr	fr	avantages
Avantages Hors-Série	fr	fr	avantages-hors-serie
Avanti	de	de	avanti
Aventuras na História	br	pt	aventuras-na-historia
Aviation Ghana	gh	en	aviation-ghana
Aviation Ghana Magazine	gh	en	aviation-ghana-magazine
Avion Luxury International Airport Magazine	it	en	avion-luxury-international-airport-magazine
